Vendor ID | Vendor Name | AAD Vendor Lead Time | AAD Vendor Cutoff Time | AAD Vendor Override date | AAD Vendor Outage Start | AAD Vendor Outage End | Address Line 1 | Address Line 2 | City | State | Zip | ISO Code | Vendor Catalog Name | Model Type
732292000|RAFI BEN-DAVID DIAMONDS LTD.||||||375 Ghent Rd||Akron|OH|44333|US||
732307000|DINURJE CORP.||11:59 PM||||375 Ghent Rd||Akron|OH|44333|US||
732349000|SRM DIAMOND CORP.||||||375 Ghent Rd||Akron|OH|44333|US||
732355000|MIDO MALL|5|1:30 PM||||1200 HARBOR BLVD||WEEHAWKEN|NJ|07086|US|MIDO|2
732370000|TROPICAL CREATIONS MFG. INC.|35|11:59 PM||||375 Ghent Rd||Akron|OH|44333|US||
732391000|H. K. DESIGNS INC.|10|1:30 PM||||535 FIFTH AVE 18TH FLOOR||NEW YORK|NY|10017|US|HKDESIGNS|2
732397000|GRAMERCY JEWELRY MANUFACTURING <||11:59 PM||||375 Ghent Rd||Akron|OH|44333|US||
732412000|ARJAV DIAMONDS (INDIA) PVT. LTD||||||375 Ghent Rd||Akron|OH|44333|US||
732421000|ATIT DIAMOND CORPORATION (LOOSE)||||||375 Ghent Rd||Akron|OH|44333|US||
732436000|LOTUS MJYX LLC|10|1:30 PM||2022-10-10;|2022-10-10;|375 Ghent Rd||Akron|OH|44333|US|LOTUS|2
732442000|SMA - AKRON|2|11:00 AM||||125 LOGAN PARKWAY||AKRON|OH|44319|US||1
732445000|MJJ SILVER INC||||||375 Ghent Rd||Akron|OH|44333|US||
732466000|INDIGO JEWELRY INC MISMATCH||||||375 Ghent Rd||Akron|OH|44333|US||
732472000|PANDORA JEWELRY LLC||11:59 PM||||375 Ghent Rd||Akron|OH|44333|US||
732481000|KIRAN JEWELS INC.||||||375 Ghent Rd||Akron|OH|44333|US||
732487000|BETA USA INC.||||||375 Ghent Rd||Akron|OH|44333|US||
732496000|V. RAMESHCHANDRA & CO.||||||375 Ghent Rd||Akron|OH|44333|US||
732499000|ANKIT GEMS PRIVATE LIMITED||||||375 Ghent Rd||Akron|OH|44333|US||
732500000|CHOICE DIAMOND||||||375 Ghent Rd||Akron|OH|44333|US||
732501000|HARI KRISHNA EXPORTS PVT LTD||||||375 Ghent Rd||Akron|OH|44333|US||
732508000|SAHAR ATID DIAMONDS LTD.||||||375 Ghent Rd||Akron|OH|44333|US||
732520000|KAMA SCHACHTER JEWELRY INC.||11:59 PM||||375 Ghent Rd||Akron|OH|44333|US||
732535000|KARIZIA SPA||||||375 Ghent Rd||Akron|OH|44333|US||
732538000|WORLD GOLD COUNCIL||||||375 Ghent Rd||Akron|OH|44333|US||
732541000|A & I INC.|10|1:30 PM||2022-10-03;|2022-10-07;|7242 VALJEAN AVENUE||VAN NUYS|CA|91406|US|A AND I|3
732544000|M & H MANUFACTURING INC.||||||375 Ghent Rd||Akron|OH|44333|US||
732550000|KETAN BROTHERS DIAMONDZ EXPORTS||||||375 Ghent Rd||Akron|OH|44333|US||
732556000|DIAMEX INC.||||||375 Ghent Rd||Akron|OH|44333|US||
732563000|RW USA CORP. (REPAIR ONLY)||11:59 PM||||375 Ghent Rd||Akron|OH|44333|US||
732565000|NAMAN EXPORTS||||||375 Ghent Rd||Akron|OH|44333|US||
732568000|K. GIRDHARLAL INT'L PVT LTD||||||375 Ghent Rd||Akron|OH|44333|US||
732587000|JASANI DESIGNS USA INCORPORATED|3|1:30 PM||||28 WEST 44TH STREET|SUITE 1014|NEW YORK|NY|10036|US|JASANI|2
732592000|CLYDE DUNEIER INC (NEIL LANE)|26|1:30 PM||2022-10-04; 2022-10-13;|2022-10-05; 2022-10-13;|50 W 47TH STREET|SUITE 310|NEW YORK|NY|10036|US|NEIL LANE|3
732595000|SDIL INC.||||||375 Ghent Rd||Akron|OH|44333|US||
732604000|GEODIS USA INC||||||375 Ghent Rd||Akron|OH|44333|US||
732616000|GLYPHUSION INC||||||375 Ghent Rd||Akron|OH|44333|US||
732634000|US CUSTOMS & BORDER PROTECTION||||||375 Ghent Rd||Akron|OH|44333|US||
732646000|NEIL LANE JEWELRY||||||375 Ghent Rd||Akron|OH|44333|US||
732652000|YERUSHALMI BROTHERS DIAMONDS LTD||||||375 Ghent Rd||Akron|OH|44333|US||
732659000|EXELCO NV||||||375 Ghent Rd||Akron|OH|44333|US||
732692000|KGS JEWELS INC|10|1:30 PM||||10 W. 46TH ST|10TH FLOOR|NEW YORK|NY|10036|US|KGS JEWELS|2
732698000|IDEAL DIAMOND TRADING||||||375 Ghent Rd||Akron|OH|44333|US||
732704000|COLOR JEWELS INC|3|1:30 PM||||36 WEST 44TH STREET|SUITE 900|NEW YORK|NY|10036|US|COLOR JEWELS|2
732707000|FOREVER DIAMONDS AND GEMS LLC||||||375 Ghent Rd||Akron|OH|44333|US||
732726000|MG WORLDWIDE LLC|5|1:30 PM||||115 W. 45TH STR.|9TH FL|NEW YORK|NY|10036|US|MG WORLDWIDE|2
732737000|MK DIAMONDS & JEWELRY||11:59 PM||||375 Ghent Rd||Akron|OH|44333|US||
732740000|ANCIENT MODERN ART LLC LOIS HILL||||||375 Ghent Rd||Akron|OH|44333|US||
732743000|H.K. DESIGNS INC. (LOOSE)||||||375 Ghent Rd||Akron|OH|44333|US||
732752000|RICHLINE GROUP|3|1:30 PM||||1385 BROADWAY|14TH FLOOR|NEW YORK|NY|10018|US|RICHLINE|2
732761000|DIAMOND REALISATIONS||||||375 Ghent Rd||Akron|OH|44333|US||
732764000|DELMAR MANUFACTURING|3|1:30 PM||2022-10-05; 2022-10-10; 2022-10-17;|2022-10-05; 2022-10-11; 2022-10-18;|1083 SOUTH MAIN STREET||CHAMPLAIN|NY|12919|US|DELMAR|2
732783000|LEVIAN CORP. (OUTLET)||11:59 PM||||375 Ghent Rd||Akron|OH|44333|US||
732791000|UNIVERSAL PACIFIC DIAMONDS LLC||11:59 PM||||375 Ghent Rd||Akron|OH|44333|US||
732794000|RYAN GEMS INC||11:59 PM||||375 Ghent Rd||Akron|OH|44333|US||
732797000|HAMILTON (SWATCH GROUP) MALL|5|1:30 PM||||1200 HARBOR BLVD|7TH FLOOR|WEEHAWKEN|NJ|07086|US|HAMILTON|2
732799000|RAPAPORT||||||375 Ghent Rd||Akron|OH|44333|US||
732809000|SDC (OUTLET)||||||375 Ghent Rd||Akron|OH|44333|US||
732812000|SIGNET DIRECT DIAMOND SOURCING||||||375 Ghent Rd||Akron|OH|44333|US||
732814000|PARSEC (EAST)||||||375 Ghent Rd||Akron|OH|44333|US||
732827000|DIAMOND JEWELRY BUYERS||||||375 Ghent Rd||Akron|OH|44333|US||
732857000|KP SANGHVI INC.|5|1:30 PM||||375 Ghent Rd||Akron|OH|44333|US|KP SANGHVI|2
732887000|GSI LLC (AKRON)||||||375 Ghent Rd||Akron|OH|44333|US||
732908000|PONTE VECCHIO TIME INC.||11:59 PM||||375 Ghent Rd||Akron|OH|44333|US||
